ERV
English Revised Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Numbers 5:7	then they shall confess their sin which they have done: and he shall make restitution for his guilt in full, and add unto it the fifth part thereof, and give it unto him in respect of whom he hath been guilty.
Numbers 5:8	But if the man have no kinsman to whom restitution may be made for the guilt, the restitution for guilt which is made unto the LORD shall be the priest’s; besides the ram of the atonement, whereby atonement shall be made for him.
Numbers 5:9	And every heave offering of all the holy things of the children of Israel, which they present unto the priest, shall be his.
Numbers 5:10	And every man’s hallowed things shall be his: whatsoever any man giveth the priest, it shall be his.
Numbers 5:11	And the LORD spake unto Moses, saying,
Numbers 5:12	Speak unto the children of Israel, and say unto them, If any man’s wife go aside, and commit a trespass against him,
Numbers 5:13	and a man lie with her carnally, and it be hid from the eyes of her husband, and be kept close, and she be defiled, and there be no witness against her, neither she be taken in the act;
Numbers 5:14	and the spirit of jealousy come upon him, and he be jealous of his wife, and she be defiled: or if the spirit of jealousy come upon him, and he be jealous of his wife, and she be not defiled:
Numbers 5:15	then shall the man bring his wife unto the priest, and shall bring her oblation for her, the tenth part of an ephah of barley meal; he shall pour no oil upon it, nor put frankincense thereon; for it is a meal offering of jealousy, a meal offering of memorial, bringing iniquity to remembrance.
Numbers 5:16	And the priest shall bring her near, and set her before the LORD:
Numbers 5:17	and the priest shall take holy water in an earthen vessel; and of the dust that is on the floor of the tabernacle the priest shall take, and put it into the water:
Numbers 5:18	and the priest shall set the woman before the LORD, and let the hair of the woman’s head go loose, and put the meal offering of memorial in her hands, which is the meal offering of jealousy: and the priest shall have in his hand the water of bitterness that causeth the curse:
Numbers 5:19	and the priest shall cause her to swear, and shall say unto the woman, If no man have lain with thee, and if thou hast not gone aside to uncleanness, being under thy husband, be thou free from this water of bitterness that causeth the curse:
Numbers 5:20	but if thou hast gone aside, being under thy husband, and if thou be defiled, and some man have lain with thee besides thine husband:
Numbers 5:21	then the priest shall cause the woman to swear with the oath of cursing, and the priest shall say unto the woman, The LORD make thee a curse and an oath among thy people, when the LORD doth make thy thigh to fall away, and thy belly to swell;
Numbers 5:22	and this water that causeth the curse shall go into thy bowels, and make thy belly to swell, and thy thigh to fall away: and the woman shall say, Amen, Amen.
Numbers 5:23	And the priest shall write these curses in a book, and he shall blot them out into the water of bitterness:
Numbers 5:24	and he shall make the woman drink the water of bitterness that causeth the curse: and the water that causeth the curse shall enter into her and become bitter.
Numbers 5:25	And the priest shall take the meal offering of jealousy out of the woman’s hand, and shall wave the meal offering before the LORD, and bring it unto the altar:
Numbers 5:26	and the priest shall take an handful of the meal offering, as the memorial thereof, and burn it upon the altar, and afterward shall make the woman drink the water.
Numbers 5:27	And when he hath made her drink the water, then it shall come to pass, if she be defiled, and have committed a trespass against her husband, that the water that causeth the curse shall enter into her and become bitter, and her belly shall swell, and her thigh shall fall away: and the woman shall be a curse among her people.
Numbers 5:28	And if the woman be not defiled, but be clean; then she shall be free, and shall conceive seed.
Numbers 5:29	This is the law of jealousy, when a wife, being under her husband, goeth aside, and is defiled;
Numbers 5:30	or when the spirit of jealousy cometh upon a man, and he be jealous over his wife; then shall he set the woman before the LORD, and the priest shall execute upon her all this law.
Numbers 5:31	And the man shall be free from iniquity, and that woman shall bear her iniquity.
Numbers 6:1	And the LORD spake unto Moses, saying,
Numbers 6:2	Speak unto the children of Israel, and say unto them, When either man or woman shall make a special vow, the vow of a Nazirite, to separate himself unto the LORD:
Numbers 6:3	he shall separate himself from wine and strong drink; he shall drink no vinegar of wine, or vinegar of strong drink, neither shall he drink any liquor of grapes, nor eat fresh grapes or dried.
Numbers 6:4	All the days of his separation shall he eat nothing that is made of the grape-vine, from the kernels even to the husk.
Numbers 6:5	All the days of his vow of separation there shall no razor come upon his head: until the days be fulfilled, in the which he separateth himself unto the LORD, he shall be holy, he shall let the locks of the hair of his head grow long.
Numbers 6:6	All the days that he separateth himself unto the LORD he shall not come near to a dead body.
Numbers 6:7	He shall not make himself unclean for his father, or for his mother, for his brother, or for his sister, when they die: because his separation unto God is upon his head.
Numbers 6:8	All the days of his separation he is holy unto the LORD.
Numbers 6:9	And if any man die very suddenly beside him, and he defile the head of his separation; then he shall shave his head in the day of his cleansing, on the seventh day shall he shave it.
Numbers 6:10	And on the eighth day he shall bring two turtledoves, or two young pigeons, to the priest, to the door of the tent of meeting:
Numbers 6:11	and the priest shall offer one for a sin offering, and the other for a burnt offering, and make atonement for him, for that he sinned by reason of the dead, and shall hallow his head that same day.
Numbers 6:12	And he shall separate unto the LORD the days of his separation, and shall bring a he-lamb of the first year for a guilt offering: but the former days shall be void, because his separation was defiled.
Numbers 6:13	And this is the law of the Nazirite, when the days of his separation are fulfilled: he shall be brought unto the door of the tent of meeting:
Numbers 6:14	and he shall offer his oblation unto the LORD, one he-lamb of the first year without blemish for a burnt offering, and one ewe-lamb of the first year without blemish for a sin offering, and one ram without blemish for peace offerings,
Numbers 6:15	and a basket of unleavened bread, cakes of fine flour mingled with oil, and unleavened wafers anointed with oil, and their meal offering, and their drink offerings.
Numbers 6:16	And the priest shall present them before the LORD, and shall offer his sin offering, and his burnt offering:
Numbers 6:17	and he shall offer the ram for a sacrifice of peace offerings unto the LORD, with the basket of unleavened bread: the priest shall offer also the meal offering thereof, and the drink offering thereof.
Numbers 6:18	And the Nazirite shall shave the head of his separation at the door of the tent of meeting, and shall take the hair of the head of his separation, and put it on the fire which is under the sacrifice of peace offerings.
Numbers 6:19	And the priest shall take the sodden shoulder of the ram, and one unleavened cake out of the basket, and one unleavened wafer, and shall put them upon the hands of the Nazirite, after he hath shaven the head of his separation:
Numbers 6:20	and the priest shall wave them for a wave offering before the LORD; this is holy for the priest, together with the wave breast and heave thigh: and after that the Nazirite may drink wine.
Numbers 6:21	This is the law of the Nazirite who voweth, and of his oblation unto the LORD for his separation, beside that which he is able to get: according to his vow which he voweth, so he must do after the law of his separation.
Numbers 6:22	And the LORD spake unto Moses, saying,
Numbers 6:23	Speak unto Aaron and unto his sons, saying, On this wise ye shall bless the children of Israel; ye shall say unto them,
Numbers 6:24	The LORD bless thee, and keep thee:
Numbers 6:25	The LORD make his face to shine upon thee, and be gracious unto thee:
Numbers 6:26	The LORD lift up his countenance upon thee, and give thee peace.
Numbers 6:27	So shall they put my name upon the children of Israel; and I will bless them.
Numbers 7:1	And it came to pass on the day that Moses had made an end of setting up the tabernacle, and had anointed it and sanctified it, and all the furniture thereof, and the altar and all the vessels thereof, and had anointed them and sanctified them;
Numbers 7:2	that the princes of Israel, the heads of their fathers’ houses, offered; these were the princes of the tribes, these are they that were over them that were numbered:
Numbers 7:3	and they brought their oblation before the LORD, six covered wagons, and twelve oxen; a wagon for every two of the princes, and for each one an ox: and they presented them before the tabernacle.
Numbers 7:4	And the LORD spake unto Moses, saying,
Numbers 7:5	Take it of them, that they may be to do the service of the tent of meeting; and thou shalt give them unto the Levites, to every man according to his service.
Numbers 7:6	And Moses took the wagons and the oxen, and gave them unto the Levites.
Numbers 7:7	Two wagons and four oxen he gave unto the sons of Gershon, according to their service:
Numbers 7:8	and four wagons and eight oxen he gave unto the sons of Merari, according unto their service, under the hand of Ithamar the son of Aaron the priest.
Numbers 7:9	But unto the sons of Kohath he gave none: because the service of the sanctuary belonged unto them; they bare it upon their shoulders.
Numbers 7:10	And the princes offered for the dedication of the altar in the day that it was anointed, even the princes offered their oblation before the altar.
Numbers 7:11	And the LORD said unto Moses, They shall offer their oblation, each prince on his day, for the dedication of the altar.
Numbers 7:12	And he that offered his oblation the first day was Nahshon the son of Amminadab, of the tribe of Judah:
Numbers 7:13	and his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:14	one golden spoon of ten shekels, full of incense;
Numbers 7:15	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:16	one male of the goats for a sin offering;
Numbers 7:17	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Nahshon the son of Amminadab.
Numbers 7:18	On the second day Nethanel the son of Zuar, prince of Issachar, did offer:
Numbers 7:19	he offered for his oblation one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:20	one golden spoon of ten shekels, full of incense;
Numbers 7:21	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:22	one male of the goats for a sin offering;
Numbers 7:23	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Nethanel the son of Zuar.
Numbers 7:24	On the third day Eliab the son of Helon, prince of the children of Zebulun:
Numbers 7:25	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:26	one golden spoon of ten shekels, full of incense;
Numbers 7:27	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:28	one male of the goats for a sin offering;
Numbers 7:29	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Eliab the son of Helon.
Numbers 7:30	On the fourth day Elizur the son of Shedeur, prince of the children of Reuben:
Numbers 7:31	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:32	one golden spoon of ten shekels, full of incense;
Numbers 7:33	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:34	one male of the goats for a sin offering;
Numbers 7:35	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Elizur the son of Shedeur.
Numbers 7:36	On the fifth day Shelumiel the son of Zurishaddai, prince of the children of Simeon:
Numbers 7:37	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:38	one golden spoon of ten shekels, full of incense;
Numbers 7:39	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:40	one male of the goats for a sin offering;
Numbers 7:41	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Shelumiel the son of Zurishaddai.
Numbers 7:42	On the sixth day Eliasaph the son of Deuel, prince of the children of Gad:
Numbers 7:43	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:44	one golden spoon of ten shekels, full of incense;
Numbers 7:45	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:46	one male of the goats for a sin offering;
Numbers 7:47	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Eliasaph the son of Deuel.
Numbers 7:48	On the seventh day Elishama the son of Ammihud, prince of the children of Ephraim:
Numbers 7:49	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:50	one golden spoon of ten shekels, full of incense;
Numbers 7:51	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:52	one male of the goats for a sin offering;
Numbers 7:53	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Elishama the son of Ammihud.
Numbers 7:54	On the eighth day Gamaliel the son of Pedahzur, prince of the children of Manasseh:
Numbers 7:55	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:56	one golden spoon of ten shekels, full of incense;
Numbers 7:57	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:58	one male of the goats for a sin offering;
Numbers 7:59	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Gamaliel the son of Pedahzur.
Numbers 7:60	On the ninth day Abidan the son of Gideoni, prince of the children of Benjamin:
Numbers 7:61	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:62	one golden spoon of ten shekels, full of incense;
Numbers 7:63	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:64	one male of the goats for a sin offering;
Numbers 7:65	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Abidan the son of Gideoni.
Numbers 7:66	On the tenth day Ahiezer the son of Ammishaddai, prince of the children of Dan:
Numbers 7:67	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:68	one golden spoon of ten shekels, full of incense;
Numbers 7:69	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:70	one male of the goats for a sin offering;
Numbers 7:71	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Ahiezer the son of Ammishaddai.
Numbers 7:72	On the eleventh day Pagiel the son of Ochran, prince of the children of Asher:
Numbers 7:73	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:74	one golden spoon of ten shekels, full of incense;
Numbers 7:75	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:76	one male of the goats for a sin offering;
Numbers 7:77	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Pagiel the son of Ochran.
Numbers 7:78	On the twelfth day Ahira the son of Enan, prince of the children of Naphtali:
Numbers 7:79	his oblation was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
Numbers 7:80	one golden spoon of ten shekels, full of incense;
Numbers 7:81	one young bullock, one ram, one he-lamb of the first year, for a burnt offering;
Numbers 7:82	one male of the goats for a sin offering;
Numbers 7:83	and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs of the first year: this was the oblation of Ahira the son of Enan.
Numbers 7:84	This was the dedication of the altar, in the day when it was anointed, by the princes of Israel: twelve silver chargers, twelve silver bowls, twelve golden spoons:
Numbers 7:85	each silver charger weighing an hundred and thirty shekels, and each bowl seventy: all the silver of the vessels two thousand and four hundred shekels, after the shekel of the sanctuary;
Numbers 7:86	the twelve golden spoons, full of incense, weighing ten shekels apiece, after the shekel of the sanctuary: all the gold of the spoons an hundred and twenty shekels:
Numbers 7:87	all the oxen for the burnt offering twelve bullocks, the rams twelve, the he-lambs of the first year twelve, and their meal offering: and the males of the goats for a sin offering twelve:
Numbers 7:88	and all the oxen for the sacrifice of peace offerings twenty and four bullocks, the rams sixty, the he-goats sixty, the he-lambs of the first year sixty. This was the dedication of the altar, after that it was anointed.
Numbers 7:89	And when Moses went into the tent of meeting to speak with him, then he heard the Voice speaking unto him from above the mercy-seat that was upon the ark of the testimony, from between the two cherubim: and he spake unto him.
Numbers 8:1	And the LORD spake unto Moses, saying,
Numbers 8:2	Speak unto Aaron, and say unto him, When thou lightest the lamps, the seven lamps shall give light in front of the candlestick.
Numbers 8:3	And Aaron did so; he lighted the lamps thereof so as to give light in front of the candlestick, as the LORD commanded Moses.
Numbers 8:4	And this was the work of the candlestick, beaten work of gold; unto the base thereof, and unto the flowers thereof, it was beaten work: according unto the pattern which the LORD had shewed Moses, so he made the candlestick.
Numbers 8:5	And the LORD spake unto Moses, saying,
Numbers 8:6	Take the Levites from among the children of Israel, and cleanse them.
Numbers 8:7	And thus shalt thou do unto them, to cleanse them: sprinkle the water of expiation upon them, and let them cause a razor to pass over all their flesh, and let them wash their clothes, and cleanse themselves.
Numbers 8:8	Then let them take a young bullock, and its meal offering, fine flour mingled with oil, and another young bullock shalt thou take for a sin offering.
Numbers 8:9	And thou shalt present the Levites before the tent of meeting: and thou shalt assemble the whole congregation of the children of Israel:
Numbers 8:10	and thou shalt present the Levites before the LORD: and the children of Israel shall lay their hands upon the Levites:
Numbers 8:11	and Aaron shall offer the Levites before the LORD for a wave offering, on the behalf of the children of Israel, that they may be to do the service of the LORD.
Numbers 8:12	And the Levites shall lay their hands upon the heads of the bullocks: and offer thou the one for a sin offering, and the other for a burnt offering, unto the LORD, to make atonement for the Levites.
Numbers 8:13	And thou shalt set the Levites before Aaron, and before his sons, and offer them for a wave offering unto the LORD.
Numbers 8:14	Thus shalt thou separate the Levites from among the children of Israel: and the Levites shall be mine.
Numbers 8:15	And after that shall the Levites go in to do the service of the tent of meeting: and thou shalt cleanse them, and offer them for a wave offering.
Numbers 8:16	For they are wholly given unto me from among the children of Israel; instead of all that openeth the womb, even the firstborn of all the children of Israel, have I taken them unto me.
Numbers 8:17	For all the firstborn among the children of Israel are mine, both man and beast: on the day that I smote all the firstborn in the land of Egypt I sanctified them for myself.
Numbers 8:18	And I have taken the Levites instead of all the firstborn among the children of Israel.
Numbers 8:19	And I have given the Levites as a gift to Aaron and to his sons from among the children of Israel, to do the service of the children of Israel in the tent of meeting, and to make atonement for the children of Israel: that there be no plague among the children of Israel, when the children of Israel come nigh unto the sanctuary.
Numbers 8:20	Thus did Moses, and Aaron, and all the congregation of the children of Israel, unto the Levites: according unto all that the LORD commanded Moses touching the Levites, so did the children of Israel unto them.
Numbers 8:21	And the Levites purified themselves from sin, and they washed their clothes; and Aaron offered them for a wave offering before the LORD; and Aaron made atonement for them to cleanse them.
Numbers 8:22	And after that went the Levites in to do their service in the tent of meeting before Aaron, and before his sons: as the LORD had commanded Moses concerning the Levites, so did they unto them.
Numbers 8:23	And the LORD spake unto Moses, saying,
Numbers 8:24	This is that which belongeth unto the Levites: from twenty and five years old and upward they shall go in to wait upon the service in the work of the tent of meeting:
Numbers 8:25	and from the age of fifty years they shall cease waiting upon the work, and shall serve no more;
Numbers 8:26	but shall minister with their brethren in the tent of meeting, to keep the charge, and shall do no service. Thus shalt thou do unto the Levites touching their charges.
Numbers 9:1	And the LORD spake unto Moses in the wilderness of Sinai, in the first month of the second year after they were come out of the land of Egypt, saying,
Numbers 9:2	Moreover let the children of Israel keep the passover in its appointed season.
Numbers 9:3	In the fourteenth day of this month, at even, ye shall keep it in its appointed season: according to all the statutes of it, and according to all the ordinances thereof, shall ye keep it.
Numbers 9:4	And Moses spake unto the children of Israel, that they should keep the passover.
Numbers 9:5	And they kept the passover in the first month, on the fourteenth day of the month, at even, in the wilderness of Sinai: according to all that the LORD commanded Moses, so did the children of Israel.
Numbers 9:6	And there were certain men, who were unclean by the dead body of a man, so that they could not keep the passover on that day: and they came before Moses and before Aaron on that day:
Numbers 9:7	and those men said unto him, We are unclean by the dead body of a man: wherefore are we kept back, that we may not offer the oblation of the LORD in its appointed season among the children of Israel?
Numbers 9:8	And Moses said unto them, Stay ye; that I may hear what the LORD will command concerning you.
Numbers 9:9	And the LORD spake unto Moses, saying,
Numbers 9:10	Speak unto the children of Israel, saying, If any man of you or of your generations shall be unclean by reason of a dead body, or be in a journey afar off, yet he shall keep the passover unto the LORD:
Numbers 9:11	in the second month on the fourteenth day at even they shall keep it; they shall eat it with unleavened bread and bitter herbs:
Numbers 9:12	they shall leave none of it unto the morning, nor break a bone thereof: according to all the statute of the passover they shall keep it.
Numbers 9:13	But the man that is clean, and is not in a journey, and forbeareth to keep the passover, that soul shall be cut off from his people: because he offered not the oblation of the LORD in its appointed season, that man shall bear his sin.
Numbers 9:14	And if a stranger shall sojourn among you, and will keep the passover unto the LORD; according to the statute of the passover, and according to the ordinance thereof, so shall he do: ye shall have one statute, both for the stranger, and for him that is born in the land.
Numbers 9:15	And on the day that the tabernacle was reared up the cloud covered the tabernacle, even the tent of the testimony: and at even it was upon the tabernacle as it were the appearance of fire, until morning.
Numbers 9:16	So it was alway: the cloud covered it, and the appearance of fire by night.
Numbers 9:17	And whenever the cloud was taken up from over the Tent, then after that the children of Israel journeyed: and in the place where the cloud abode, there the children of Israel encamped.
Numbers 9:18	At the commandment of the LORD the children of Israel journeyed, and at the commandment of the LORD they encamped: as long as the cloud abode upon the tabernacle they remained encamped.
Numbers 9:19	And when the cloud tarried upon the tabernacle many days, then the children of Israel kept the charge of the LORD, and journeyed not.
Numbers 9:20	And sometimes the cloud was a few days upon the tabernacle; then according to the commandment of the LORD they remained encamped, and according to the commandment of the LORD they journeyed.
Numbers 9:21	And sometimes the cloud was from evening until morning; and when the cloud was taken up in the morning, they journeyed: or if it continued by day and by night, when the cloud was taken up, they journeyed.
Numbers 9:22	Whether it were two days, or a month, or a year, that the cloud tarried upon the tabernacle, abiding thereon, the children of Israel remained encamped, and journeyed not: but when it was taken up, they journeyed.
Numbers 9:23	At the commandment of the LORD they encamped, and at the commandment of the LORD they journeyed: they kept the charge of the LORD, at the commandment of the LORD by the hand of Moses.
Numbers 10:1	And the LORD spake unto Moses, saying,
Numbers 10:2	Make thee two trumpets of silver; of beaten work shalt thou make them: and thou shalt use them for the calling of the congregation, and for the journeying of the camps.
Numbers 10:3	And when they shall blow with them, all the congregation shall gather themselves unto thee at the door of the tent of meeting.
Numbers 10:4	And if they blow but with one, then the princes, the heads of the thousands of Israel, shall gather themselves unto thee.
Numbers 10:5	And when ye blow an alarm, the camps that lie on the east side shall take their journey.
Numbers 10:6	And when ye blow an alarm the second time, the camps that lie on the south side shall take their journey: they shall blow an alarm for their journeys.
Numbers 10:7	But when the assembly is to be gathered together, ye shall blow, but ye shall not sound an alarm.
Numbers 10:8	And the sons of Aaron, the priests, shall blow with the trumpets; and they shall be to you for a statute for ever throughout your generations.
Numbers 10:9	And when ye go to war in your land against the adversary that oppresseth you, then ye shall sound an alarm with the trumpets; and ye shall be remembered before the LORD your God, and ye shall be saved from your enemies.
Numbers 10:10	Also in the day of your gladness, and in your set feasts, and in the beginnings of your months, ye shall blow with the trumpets over your burnt offerings, and over the sacrifices of your peace offerings; and they shall be to you for a memorial before your God: I am the LORD your God.
Numbers 10:11	And it came to pass in the second year, in the second month, on the twentieth day of the month, that the cloud was taken up from over the tabernacle of the testimony.
Numbers 10:12	And the children of Israel set forward according to their journeys out of the wilderness of Sinai; and the cloud abode in the wilderness of Paran.
Numbers 10:13	And they first took their journey according to the commandment of the LORD by the hand of Moses.
Numbers 10:14	And in the first place the standard of the camp of the children of Judah set forward according to their hosts: and over his host was Nahshon the son of Amminadab.
Numbers 10:15	And over the host of the tribe of the children of Issachar was Nethanel the son of Zuar.
Numbers 10:16	And over the host of the tribe of the children of Zebulun was Eliab the son of Helon.
Numbers 10:17	And the tabernacle was taken down; and the sons of Gershon and the sons of Merari, who bare the tabernacle, set forward.
Numbers 10:18	And the standard of the camp of Reuben set forward according to their hosts: and over his host was Elizur the son of Shedeur.
Numbers 10:19	And over the host of the tribe of the children of Simeon was Shelumiel the son of Zurishaddai.
Numbers 10:20	And over the host of the tribe of the children of Gad was Eliasaph the son of Deuel.
Numbers 10:21	And the Kohathites set forward, bearing the sanctuary: and the other did set up the tabernacle against they came.
Numbers 10:22	And the standard of the camp of the children of Ephraim set forward according to their hosts: and over his host was Elishama the son of Ammihud.
Numbers 10:23	And over the host of the tribe of the children of Manasseh was Gamaliel the son of Pedahzur.
Numbers 10:24	And over the host of the tribe of the children of Benjamin was Abidan the son of Gideoni.
Numbers 10:25	And the standard of the camp of the children of Dan, which was the rearward of all the camps, set forward according to their hosts: and over his host was Ahiezer the son of Ammishaddai.
Numbers 10:26	And over the host of the tribe of the children of Asher was Pagiel the son of Ochran.
Numbers 10:27	And over the host of the tribe of the children of Naphtali was Ahira the son of Enan.
Numbers 10:28	Thus were the journeyings of the children of Israel according to their hosts; and they set forward.
Numbers 10:29	And Moses said unto Hobab, the son of Reuel the Midianite, Moses’ father in law, We are journeying unto the place of which the LORD said, I will give it you: come thou with us, and we will do thee good: for the LORD hath spoken good concerning Israel.
Numbers 10:30	And he said unto him, I will not go; but I will depart to mine own land, and to my kindred.
Numbers 10:31	And he said, Leave us not, I pray thee; forasmuch as thou knowest how we are to encamp in the wilderness, and thou shalt be to us instead of eyes.
Numbers 10:32	And it shall be, if thou go with us, yea, it shall be, that what good soever the LORD shall do unto us, the same will we do unto thee.
Numbers 10:33	And they set forward from the mount of the LORD three days’ journey; and the ark of the covenant of the LORD went before them three days’ journey, to seek out a resting place for them.
Numbers 10:34	And the cloud of the LORD was over them by day, when they set forward from the camp.
Numbers 10:35	And it came to pass, when the ark set forward, that Moses said, Rise up, O LORD, and let thine enemies be scattered; and let them that hate thee flee before thee.
Numbers 10:36	And when it rested, he said, Return, O LORD, unto the ten thousands of the thousands of Israel.
Numbers 11:1	And the people were as murmurers, speaking evil in the ears of the LORD: and when the LORD heard it, his anger was kindled; and the fire of the LORD burnt among them, and devoured in the uttermost part of the camp.
Numbers 11:2	And the people cried unto Moses; and Moses prayed unto the LORD, and the fire abated.
Numbers 11:3	And the name of that place was called Taberah: because the fire of the LORD burnt among them.
Numbers 11:4	And the mixed multitude that was among them fell a lusting: and the children of Israel also wept again, and said, Who shall give us flesh to eat?
Numbers 11:5	We remember the fish, which we did eat in Egypt for nought; the cucumbers, and the melons, and the leeks, and the onions, and the garlick:
Numbers 11:6	but now our soul is dried away; there is nothing at all: we have nought save this manna to look to.
Numbers 11:7	And the manna was like coriander seed, and the appearance thereof as the appearance of bdellium.
Numbers 11:8	The people went about, and gathered it, and ground it in mills, or beat it in mortars, and seethed it in pots, and made cakes of it: and the taste of it was as the taste of fresh oil.
Numbers 11:9	And when the dew fell upon the camp in the night, the manna fell upon it.
Numbers 11:10	And Moses heard the people weeping throughout their families, every man at the door of his tent: and the anger of the LORD was kindled greatly; and Moses was displeased.
Numbers 11:11	And Moses said unto the LORD, Wherefore hast thou evil entreated thy servant? and wherefore have I not found favour in thy sight, that thou layest the burden of all this people upon me?
Numbers 11:12	Have I conceived all this people? have I brought them forth, that thou shouldest say unto me, Carry them in thy bosom, as a nursing-father carrieth the sucking child, unto the land which thou swarest unto their fathers?
Numbers 11:13	Whence should I have flesh to give unto all this people? for they weep unto me, saying, Give us flesh, that we may eat.
Numbers 11:14	I am not able to bear all this people alone, because it is too heavy for me.
Numbers 11:15	And if thou deal thus with me, kill me, I pray thee, out of hand, if I have found favour in thy sight; and let me not see my wretchedness.
Numbers 11:16	And the LORD said unto Moses, Gather unto me seventy men of the elders of Israel, whom thou knowest to be the elders of the people, and officers over them; and bring them unto the tent of meeting, that they may stand there with thee.
Numbers 11:17	And I will come down and talk with thee there: and I will take of the spirit which is upon thee, and will put it upon them; and they shall bear the burden of the people with thee, that thou bear it not thyself alone.
Numbers 11:18	And say thou unto the people, Sanctify yourselves against tomorrow, and ye shall eat flesh: for ye have wept in the ears of the LORD, saying, Who shall give us flesh to eat? for it was well with us in Egypt: therefore the LORD will give you flesh, and ye shall eat.
Numbers 11:19	Ye shall not eat one day, nor two days, nor five days, neither ten days, nor twenty days;
Numbers 11:20	but a whole month, until it come out at your nostrils, and it be loathsome unto you: because that ye have rejected the LORD which is among you, and have wept before him, saying, Why came we forth out of Egypt?
Numbers 11:21	And Moses said, The people, among whom I am, are six hundred thousand footmen; and thou hast said, I will give them flesh, that they may eat a whole month.
Numbers 11:22	Shall flocks and herds be slain for them, to suffice them? or shall all the fish of the sea be gathered together for them, to suffice them?
Numbers 11:23	And the LORD said unto Moses, Is the LORD’S hand waxed short? now shalt thou see whether my word shall come to pass unto thee or not.
